Start Time,End Time,Focused
12:23:04,12:23:04,Not Focused
12:23:04,12:23:04,Focused
12:23:04,12:23:13,No Eyes Detected
12:23:13,12:23:13,Focused
12:23:13,12:23:13,Not Focused
12:23:13,12:23:13,Focused
12:23:13,12:23:14,Not Focused
12:23:14,12:23:14,Focused
12:23:14,12:23:38,Not Focused
12:23:38,12:23:38,Focused
12:23:38,12:23:39,Not Focused
12:23:39,12:23:39,Focused
12:23:39,12:23:39,Not Focused
12:23:39,12:23:39,Focused
12:23:39,12:23:40,Not Focused
12:23:40,12:23:41,Focused
12:23:41,12:23:41,Not Focused
12:23:41,12:23:41,Focused
12:23:41,12:23:42,Not Focused
12:23:42,12:23:43,Focused
12:23:43,12:23:43,Not Focused
12:23:43,12:23:43,Focused
12:23:43,12:23:44,Not Focused
12:23:44,12:23:44,Focused
12:23:44,12:23:44,Not Focused
12:23:44,12:23:44,Focused
12:23:44,12:23:45,Not Focused
12:23:45,12:23:45,Focused
12:23:45,12:23:45,Not Focused
12:23:45,12:23:45,Focused
12:23:45,12:23:45,Not Focused
12:23:45,12:23:52,Focused
12:23:52,12:23:53,Not Focused
12:23:53,12:24:01,Focused
12:24:01,12:24:02,Not Focused
12:24:02,12:24:02,Focused
12:24:02,12:24:03,Not Focused
12:24:03,12:24:03,Focused
12:24:03,12:24:06,Not Focused
12:24:06,12:24:06,Focused
12:24:06,12:24:09,Not Focused
12:24:09,12:24:10,Focused
